Player,position,x1_goalspergame,x2_assists,x3_passingacc,x4_longballacc,x5_crossingacc,x6_interceptions,x7_ballrecov,x8_nowaythru,x9_clearance,x10_dribbsucc,x11_duelwon,x12_aerialduelwon,x13_cleansheet,x14_percentsaved,y1_tradkeeper,y2_sweeperkeeper,y3_ballplayingdefender,y4_nononsensedefender,y5_fullback,y6_allactionmidfielder,y7_midfieldplaymaker,y8_traditionalwinger,y9_invertedwinger,y10_goalpoacher,y11_targetman,y1_tradkeeper,y2_sweeperkeeper,y3_ballplayingdefender,y4_nononsensedefender,y5_fullback,y6_allactionmidfielder,y7_midfieldplaymaker,y8_traditionalwinger,y9_invertedwinger,y10_goalpoacher,y11_targetman
low gareth,non-gk,25,25,81.25,25,25,29.80769231,34.375,29.89130435,29.6875,75.25,44.5,25,0,0,20.02557483,28.77557483,40.59648829,39.03359114,40.17220945,38.07153428,44.02307483,36.94085493,40.37522993,37.20335493,45.71585493,0,0,0,0,0,0,0,0,0,0,0
syed firdaus hassan,non-gk,25,25,81.25,25,55,39.42307692,37.98076923,33.15217391,25,81.25,52,25,0,0,22.265301,31.315301,43.63549331,42.99460702,47.94799331,42.58579431,48.212801,44.3111204,43.7611204,39.9236204,49.7111204,0,0,0,0,0,0,0,0,0,0,0
amiruldin asraf,non-gk,57.14285714,50,84.25,81.25,58.75,30.76923077,38.70192308,29.89130435,25,72.25,48.25,46.75,0,0,24.88705148,38.71455148,52.27751851,42.7610774,52.23703774,47.88694637,58.36598005,57.31082059,57.43046345,54.37474916,56.71582059,0,0,1,0,1,0,1,1,1,1,1
ignatius ang yu heng,non-gk,57.14285714,25,80.5,100,62.5,27.88461538,29.32692308,26.63043478,25,62.5,58.75,62.5,0,0,26.37352723,41.43852723,54.16957119,41.54054228,52.28303273,46.6169171,54.13495581,54.44291089,55.05005375,55.34933946,55.96541089,0,0,1,0,1,0,1,1,1,1,1
faris ramli,non-gk,57.14285714,87.5,78.25,55,55.75,37.5,48.79807692,46.19565217,28.125,85.75,61.75,47.5,0,0,28.46986503,39.68736503,54.09985129,50.80067606,58.81369744,54.44391961,66.5987936,64.27219601,66.34808887,60.51112458,65.51469601,0,0,1,1,1,1,1,1,1,1,1
shah shahiran,non-gk,25,50,82,100,45.25,34.61538462,35.81730769,31.52173913,32.8125,73.75,57.25,67.75,0,0,28.22084657,43.23334657,57.45377926,47.04270485,54.21748119,49.81457776,59.92334657,50.96471363,52.79283863,47.93221363,54.71971363,0,0,1,0,1,0,1,1,1,0,1
taufik suparno,non-gk,57.14285714,62.5,92.5,87.25,77.5,30.76923077,30.76923077,29.89130435,29.6875,75.25,46,67.75,0,0,27.53479187,42.68979187,56.24886467,45.13290432,57.62064351,51.33454252,65.29372044,64.90154175,62.2180596,58.57797032,60.20654175,0,0,1,0,1,1,1,1,1,1,1
joel chew joon herng,non-gk,25,50,94,82.75,41.5,61.53846154,74.03846154,54.34782609,34.375,93.25,51.25,35.5,0,0,29.66748746,44.22248746,64.19777592,59.38327759,60.57133361,60.40382107,65.29998746,53.12474498,54.99349498,47.42224498,58.44724498,0,0,1,1,1,1,1,1,1,0,1
yasir hanapi,non-gk,35.71428571,25,89.5,100,25,37.5,43.75,33.15217391,32.8125,70,48.25,35.5,0,0,24.13287655,39.54287655,55.12064441,44.59165373,47.19001941,46.87343168,53.25501941,43.62902562,48.13036491,44.32116848,50.10152562,0,0,1,0,0,0,1,0,0,0,1
jared gallagher,non-gk,25,25,93.25,79.75,85,43.26923077,59.61538462,67.39130435,43.75,62.5,52,85,0,0,33.18629599,47.87629599,65.5616806,57.08926421,62.97052676,59.82932274,61.84129599,55.36801839,51.25551839,48.97801839,52.95301839,0,0,1,1,1,1,1,1,1,0,1
